
Left Force,Left Angle,Left Encoder Angle,Pacchetto,Time

-54.5,	207,	115,	88,	291.763
-54.5,	207,	115,	88,	291.763
-54.9,	207,	115,	88,	291.768
-55.5,	208,	115,	88,	291.773
-56.1,	209,	115,	88,	291.778
-56.9,	210,	115,	88,	291.783
-58,	210,	115,	88,	291.788
-50.8,	244,	145,	89,	292.002
-50.8,	244,	145,	89,	292.002
-48.7,	244,	145,	89,	292.007
-47,	245,	145,	89,	292.012
-46.2,	246,	145,	89,	292.017
-45.4,	247,	145,	89,	292.022
-45,	247,	145,	89,	292.027
-37.3,	276,	176,	90,	292.211
-37.3,	276,	176,	90,	292.211
-37.2,	277,	176,	90,	292.216
-37.1,	278,	176,	90,	292.221
-37.1,	278,	176,	90,	292.226
-37.5,	279,	176,	90,	292.231
-37.6,	280,	176,	90,	292.236
-45.7,	308,	207,	91,	292.419
-45.7,	308,	207,	91,	292.419
-46.5,	308,	207,	91,	292.424
-46.5,	309,	207,	91,	292.429
-46.5,	310,	207,	91,	292.434
-45.8,	311,	207,	91,	292.439
-44.3,	311,	207,	91,	292.444
-0.6,	344,	246,	92,	292.658
-0.6,	344,	246,	92,	292.658
-0.2,	345,	246,	92,	292.663
0.6,	346,	246,	92,	292.668
1.5,	347,	246,	92,	292.673
1.5,	347,	246,	92,	292.678
1.6,	348,	246,	92,	292.683
36.3,	25,	282,	93,	292.927
36.3,	25,	282,	93,	292.927
36.5,	26,	282,	93,	292.932
36.6,	27,	282,	93,	292.937
37.1,	27,	282,	93,	292.942
37.2,	28,	282,	93,	292.947
37.8,	29,	282,	93,	292.952
46.9,	52,	312,	94,	293.105
46.9,	52,	312,	94,	293.105
47,	53,	312,	94,	293.11
46.4,	53,	312,	94,	293.115
45.8,	54,	312,	94,	293.12
45.8,	55,	312,	94,	293.125
46,	56,	312,	94,	293.13
40.3,	84,	341,	95,	293.314
40.3,	84,	341,	95,	293.314
40.7,	84,	341,	95,	293.319
39.7,	85,	341,	95,	293.324
39.1,	86,	341,	95,	293.329
38.9,	87,	341,	95,	293.334
38.7,	87,	341,	95,	293.339
34.8,	115,	11,	96,	293.523
34.8,	115,	11,	96,	293.523
35.3,	116,	11,	96,	293.528
35.6,	117,	11,	96,	293.533
35.6,	117,	11,	96,	293.538
35.5,	118,	11,	96,	293.543
34,	119,	11,	96,	293.548
9,	150,	50,	97,	293.761
9,	150,	50,	97,	293.761
9.1,	151,	50,	97,	293.766
9.1,	151,	50,	97,	293.771
9.1,	152,	50,	97,	293.776
9.6,	153,	50,	97,	293.781
8.7,	154,	50,	97,	293.786
-37.6,	190,	90,	98,	294.03
-37.6,	190,	90,	98,	294.03
-38.2,	190,	90,	98,	294.035
-39.3,	191,	90,	98,	294.04
-40.5,	192,	90,	98,	294.045
-41.2,	193,	90,	98,	294.05
-42.4,	193,	90,	98,	294.055
-59.2,	217,	120,	99,	294.209
-59.2,	217,	120,	99,	294.209
-59.2,	218,	120,	99,	294.214
-58.9,	219,	120,	99,	294.219
-58.7,	219,	120,	99,	294.224
-58.5,	220,	120,	99,	294.229
-58.2,	221,	120,	99,	294.234
-43.6,	249,	150,	100,	294.418
-43.6,	249,	150,	100,	294.418
-41.8,	249,	150,	100,	294.423
-40.5,	250,	150,	100,	294.428
-39.6,	251,	150,	100,	294.433
-39.4,	251,	150,	100,	294.438
-39,	252,	150,	100,	294.443
-40.2,	279,	180,	101,	294.626
-40.2,	279,	180,	101,	294.626
-40.5,	280,	180,	101,	294.631
-40.5,	281,	180,	101,	294.636
-40.3,	282,	180,	101,	294.641
-40.1,	282,	180,	101,	294.646
-40,	283,	180,	101,	294.651
-36.9,	315,	219,	102,	294.865
-36.9,	315,	219,	102,	294.865
-35.5,	316,	219,	102,	294.87
-35.1,	317,	219,	102,	294.875
-34,	318,	219,	102,	294.88
-32.5,	318,	219,	102,	294.885
-31.7,	319,	219,	102,	294.89
19.9,	0,	258,	103,	295.164
19.9,	0,	258,	103,	295.164
20.4,	0,	258,	103,	295.169
20.6,	1,	258,	103,	295.174
21.4,	2,	258,	103,	295.179
21.7,	3,	258,	103,	295.184
22.4,	3,	258,	103,	295.189
41.4,	30,	287,	104,	295.372
41.4,	30,	287,	104,	295.372
40.8,	31,	287,	104,	295.377
41.5,	32,	287,	104,	295.382
42.2,	33,	287,	104,	295.387
43,	33,	287,	104,	295.392
43.5,	34,	287,	104,	295.397
47,	62,	323,	105,	295.581
47,	62,	323,	105,	295.581
48.7,	62,	323,	105,	295.586
49.1,	63,	323,	105,	295.591
48.4,	64,	323,	105,	295.596
48.4,	65,	323,	105,	295.601
48.2,	65,	323,	105,	295.606
44.8,	88,	0,	106,	295.76
44.8,	88,	0,	106,	295.76
44.5,	89,	0,	106,	295.765
44.1,	89,	0,	106,	295.77
43.4,	90,	0,	106,	295.775
43.1,	91,	0,	106,	295.78
42.6,	92,	0,	106,	295.785
30.4,	127,	32,	107,	296.028
30.4,	127,	32,	107,	296.028
29.7,	128,	32,	107,	296.033
29.6,	129,	32,	107,	296.038
29.2,	130,	32,	107,	296.043
28.7,	130,	32,	107,	296.048
28.7,	131,	32,	107,	296.053
-1.1,	163,	63,	108,	296.267
-1.1,	163,	63,	108,	296.267
-1.7,	164,	63,	108,	296.272
-2.7,	165,	63,	108,	296.277
-4.4,	165,	63,	108,	296.282
-5.2,	166,	63,	108,	296.287
-6.5,	167,	63,	108,	296.292
-51.8,	195,	92,	109,	296.476
-51.8,	195,	92,	109,	296.476
-52,	195,	92,	109,	296.481
-52.4,	196,	92,	109,	296.486
-54.2,	197,	92,	109,	296.491
-56.4,	198,	92,	109,	296.496
-56.8,	198,	92,	109,	296.501
-65.1,	231,	127,	110,	296.714
-65.1,	231,	127,	110,	296.714
-64,	232,	127,	110,	296.719
-63.3,	232,	127,	110,	296.724
-63.2,	233,	127,	110,	296.729
-63.1,	234,	127,	110,	296.734
-62.6,	235,	127,	110,	296.739
-48.9,	268,	166,	111,	296.953
-48.9,	268,	166,	111,	296.953
-47.8,	268,	166,	111,	296.958
-47.6,	269,	166,	111,	296.963
-47.5,	270,	166,	111,	296.968
-47.2,	271,	166,	111,	296.973
-46.2,	271,	166,	111,	296.978
-47.1,	300,	196,	112,	297.162
-47.1,	300,	196,	112,	297.162
-47.1,	301,	196,	112,	297.167
-45.8,	302,	196,	112,	297.172
-44.9,	302,	196,	112,	297.177
-44.5,	303,	196,	112,	297.182
-44.5,	304,	196,	112,	297.187
-17,	332,	227,	113,	297.371
-17,	332,	227,	113,	297.371
-16.4,	333,	227,	113,	297.376
-15.5,	333,	227,	113,	297.381
-13.6,	334,	227,	113,	297.386
-13.4,	335,	227,	113,	297.391
-12.5,	336,	227,	113,	297.396
24.8,	3,	257,	114,	297.579
24.8,	3,	257,	114,	297.579
25,	3,	257,	114,	297.584
25.5,	4,	257,	114,	297.589
25.5,	5,	257,	114,	297.594
25.4,	6,	257,	114,	297.599
25.4,	6,	257,	114,	297.604
41.9,	39,	292,	115,	297.818
41.9,	39,	292,	115,	297.818
42.1,	40,	292,	115,	297.823
41.6,	40,	292,	115,	297.828
41.5,	41,	292,	115,	297.833
42.1,	42,	292,	115,	297.838
41.8,	43,	292,	115,	297.843
43.7,	76,	329,	116,	298.057
43.7,	76,	329,	116,	298.057
43.6,	76,	329,	116,	298.062
43.4,	77,	329,	116,	298.067
43.2,	78,	329,	116,	298.072
43.1,	78,	329,	116,	298.077
42.5,	79,	329,	116,	298.082
33.6,	106,	358,	117,	298.265
33.6,	106,	358,	117,	298.265
33.7,	107,	358,	117,	298.27
33.5,	107,	358,	117,	298.275
33,	108,	358,	117,	298.28
31.9,	109,	358,	117,	298.285
30.5,	110,	358,	117,	298.29
17,	137,	30,	118,	298.474
17,	137,	30,	118,	298.474
16.7,	138,	30,	118,	298.479
17,	139,	30,	118,	298.484
17,	139,	30,	118,	298.489
17,	140,	30,	118,	298.494
16.2,	141,	30,	118,	298.499
-8.5,	164,	61,	119,	298.653
-8.5,	164,	61,	119,	298.653
-8.5,	165,	61,	119,	298.658
-9.3,	166,	61,	119,	298.663
-9.2,	166,	61,	119,	298.668
-9.9,	167,	61,	119,	298.673
-9.9,	168,	61,	119,	298.678
-64.6,	204,	107,	120,	298.921
-64.6,	204,	107,	120,	298.921
-64.6,	205,	107,	120,	298.926
-64.6,	206,	107,	120,	298.931
-65.5,	207,	107,	120,	298.936
-65.9,	207,	107,	120,	298.941
-66,	208,	107,	120,	298.946
-57.7,	241,	144,	121,	299.16
-57.7,	241,	144,	121,	299.16
-56.7,	242,	144,	121,	299.165
-56,	243,	144,	121,	299.17
-54,	243,	144,	121,	299.175
-51.9,	244,	144,	121,	299.18
-50.6,	245,	144,	121,	299.185
-40,	274,	175,	122,	299.369
-40,	274,	175,	122,	299.369
-39,	274,	175,	122,	299.374
-38.1,	275,	175,	122,	299.379
-39,	276,	175,	122,	299.384
-38.3,	277,	175,	122,	299.389
-38.3,	278,	175,	122,	299.394
-42.2,	306,	205,	123,	299.578
-42.2,	306,	205,	123,	299.578
-42.1,	307,	205,	123,	299.583
-41.5,	308,	205,	123,	299.588
-41.3,	309,	205,	123,	299.593
-40.2,	309,	205,	123,	299.598
-40,	310,	205,	123,	299.603
-12.6,	333,	244,	124,	299.757
-12.6,	333,	244,	124,	299.757
-12.6,	334,	244,	124,	299.762
-12.4,	335,	244,	124,	299.767
-11.3,	335,	244,	124,	299.772
-9.8,	336,	244,	124,	299.777
-8.3,	337,	244,	124,	299.782
35.6,	14,	281,	125,	300.025
35.6,	14,	281,	125,	300.025
35.7,	15,	281,	125,	300.03
36,	15,	281,	125,	300.035
36.2,	16,	281,	125,	300.04
37,	17,	281,	125,	300.045
37.1,	18,	281,	125,	300.05
39,	51,	310,	126,	300.264
39,	51,	310,	126,	300.264
39.1,	52,	310,	126,	300.269
41,	53,	310,	126,	300.274
41.9,	53,	310,	126,	300.279
42,	54,	310,	126,	300.284
42.9,	55,	310,	126,	300.289
43.3,	82,	338,	127,	300.473
43.3,	82,	338,	127,	300.473
43,	83,	338,	127,	300.478
42.8,	84,	338,	127,	300.483
41.5,	84,	338,	127,	300.488
41.5,	85,	338,	127,	300.493
41.5,	86,	338,	127,	300.498
34.5,	113,	8,	128,	300.681
34.5,	113,	8,	128,	300.681
33.9,	114,	8,	128,	300.686
34.1,	115,	8,	128,	300.691
33.4,	116,	8,	128,	300.696
32.6,	116,	8,	128,	300.701
32.6,	117,	8,	128,	300.706
15.4,	149,	48,	129,	300.92
15.4,	149,	48,	129,	300.92
14.5,	150,	48,	129,	300.925
13.5,	150,	48,	129,	300.93
12.7,	151,	48,	129,	300.935
12.3,	152,	48,	129,	300.94
11.8,	153,	48,	129,	300.945
-25.9,	184,	85,	130,	301.159
-25.9,	184,	85,	130,	301.159
-27.3,	185,	85,	130,	301.164
-28.2,	186,	85,	130,	301.169
-29.4,	186,	85,	130,	301.174
-29.5,	187,	85,	130,	301.179
-31.4,	188,	85,	130,	301.184
-59.4,	215,	113,	131,	301.368
-59.4,	215,	113,	131,	301.368
-59,	216,	113,	131,	301.373
-58.3,	217,	113,	131,	301.378
-58.2,	218,	113,	131,	301.383
-58,	218,	113,	131,	301.388
-56.7,	219,	113,	131,	301.392
-49.1,	247,	143,	132,	301.576
-49.1,	247,	143,	132,	301.576
-49.1,	248,	143,	132,	301.581
-49,	249,	143,	132,	301.586
-49,	250,	143,	132,	301.591
-49,	250,	143,	132,	301.596
-47.2,	251,	143,	132,	301.601
-33.7,	274,	174,	133,	301.755
-33.7,	274,	174,	133,	301.755
-33.9,	275,	174,	133,	301.76
-34.6,	276,	174,	133,	301.765
-35.1,	277,	174,	133,	301.77
-35.4,	277,	174,	133,	301.775
-35.9,	278,	174,	133,	301.78
-38.1,	314,	212,	134,	302.024
-38.1,	314,	212,	134,	302.024
-38.2,	315,	212,	134,	302.029
-38.2,	316,	212,	134,	302.034
-38.5,	316,	212,	134,	302.039
-38.5,	317,	212,	134,	302.044
-38.5,	318,	212,	134,	302.049
-0.2,	350,	250,	135,	302.262
-0.2,	350,	250,	135,	302.262
1.3,	351,	250,	135,	302.267
1.9,	352,	250,	135,	302.272
3.4,	352,	250,	135,	302.277
5.1,	353,	250,	135,	302.282
5.1,	354,	250,	135,	302.287
32.8,	21,	278,	136,	302.471
32.8,	21,	278,	136,	302.471
33.1,	22,	278,	136,	302.476
33.1,	23,	278,	136,	302.481
34.7,	24,	278,	136,	302.486
35,	24,	278,	136,	302.491
35,	25,	278,	136,	302.496
43.4,	52,	307,	137,	302.68
43.4,	52,	307,	137,	302.68
43.5,	53,	307,	137,	302.685
44.8,	54,	307,	137,	302.69
44.4,	54,	307,	137,	302.695
45.3,	55,	307,	137,	302.7
47,	56,	307,	137,	302.705
43,	78,	337,	138,	302.859
43,	78,	337,	138,	302.859
42.7,	79,	337,	138,	302.864
42.8,	80,	337,	138,	302.869
42,	80,	337,	138,	302.874
41.7,	81,	337,	138,	302.879
41.9,	82,	337,	138,	302.884
38.8,	118,	15,	139,	303.127
38.8,	118,	15,	139,	303.127
38.6,	119,	15,	139,	303.132
38.4,	120,	15,	139,	303.137
38.3,	121,	15,	139,	303.142
38.3,	121,	15,	139,	303.147
38.1,	122,	15,	139,	303.152
9.2,	153,	55,	140,	303.366
9.2,	153,	55,	140,	303.366
8.8,	154,	55,	140,	303.371
8.9,	155,	55,	140,	303.376
8.7,	156,	55,	140,	303.381
7.9,	156,	55,	140,	303.386
5.7,	157,	55,	140,	303.391
-37.3,	185,	86,	141,	303.575
-37.3,	185,	86,	141,	303.575
-39.7,	185,	86,	141,	303.58
-40.4,	186,	86,	141,	303.585
-40.9,	187,	86,	141,	303.59
-40.9,	188,	86,	141,	303.595
-42.3,	189,	86,	141,	303.6
-58.5,	212,	116,	142,	303.754
-58.5,	212,	116,	142,	303.754
-58.5,	213,	116,	142,	303.759
-58.6,	214,	116,	142,	303.764
-59,	215,	116,	142,	303.769
-59,	215,	116,	142,	303.774
-59.2,	216,	116,	142,	303.779
-53.2,	244,	154,	143,	303.963
-53.2,	244,	154,	143,	303.963
-51.9,	245,	154,	143,	303.967
-51.1,	246,	154,	143,	303.972
-50.2,	247,	154,	143,	303.978
-50,	247,	154,	143,	303.982
-49.8,	248,	154,	143,	303.987
-49.7,	290,	192,	144,	304.261
-49.7,	290,	192,	144,	304.261
-49.6,	290,	192,	144,	304.266
-49.4,	291,	192,	144,	304.271
-48.4,	292,	192,	144,	304.276
-47.8,	293,	192,	144,	304.281
-47.3,	294,	192,	144,	304.286
-20,	331,	231,	145,	304.529
-20,	331,	231,	145,	304.529
-19.6,	332,	231,	145,	304.534
-19.4,	333,	231,	145,	304.539
-19.2,	333,	231,	145,	304.544
-17.7,	334,	231,	145,	304.549
-16.5,	335,	231,	145,	304.554
14.1,	358,	261,	146,	304.708
14.1,	358,	261,	146,	304.708
14.5,	359,	261,	146,	304.713
14.7,	0,	261,	146,	304.718
15.4,	1,	261,	146,	304.723
16.3,	1,	261,	146,	304.728
17.9,	2,	261,	146,	304.733
38.8,	29,	298,	147,	304.917
38.8,	29,	298,	147,	304.917
38.9,	30,	298,	147,	304.922
39.7,	31,	298,	147,	304.927
39.7,	32,	298,	147,	304.932
40.1,	32,	298,	147,	304.937
40.7,	33,	298,	147,	304.942
48,	66,	333,	148,	305.156
48,	66,	333,	148,	305.156
47.6,	67,	333,	148,	305.161
47.7,	68,	333,	148,	305.166
47.7,	69,	333,	148,	305.171
47.7,	69,	333,	148,	305.176
47.7,	70,	333,	148,	305.181
40.5,	106,	2,	149,	305.424
40.5,	106,	2,	149,	305.424
39.7,	107,	2,	149,	305.429
37.9,	107,	2,	149,	305.434
37,	108,	2,	149,	305.439
36.6,	109,	2,	149,	305.444
36.4,	110,	2,	149,	305.449
26.7,	132,	32,	150,	305.604
26.7,	132,	32,	150,	305.604
26.1,	132,	32,	150,	305.608
25.5,	133,	32,	150,	305.613
25.3,	134,	32,	150,	305.618
25.1,	135,	32,	150,	305.623
24.6,	135,	32,	150,	305.628
-3.1,	163,	63,	151,	305.812
-3.1,	163,	63,	151,	305.812
-3.1,	163,	63,	151,	305.817
-5,	164,	63,	151,	305.822
-6.1,	165,	63,	151,	305.827
-6.9,	166,	63,	151,	305.832
-8.7,	166,	63,	151,	305.837
-50.3,	194,	101,	152,	306.021
-50.3,	194,	101,	152,	306.021
-51,	195,	101,	152,	306.026
-51.8,	195,	101,	152,	306.031
-52.1,	196,	101,	152,	306.036
-53.9,	197,	101,	152,	306.041
-56,	198,	101,	152,	306.046
-59.8,	230,	137,	153,	306.26
-59.8,	230,	137,	153,	306.26
-59.5,	231,	137,	153,	306.265
-59.2,	232,	137,	153,	306.27
-58.5,	233,	137,	153,	306.275
-57.8,	233,	137,	153,	306.28
-57.6,	234,	137,	153,	306.285
-36.4,	270,	168,	154,	306.528
-36.4,	270,	168,	154,	306.528
-35.6,	271,	168,	154,	306.533
-35,	272,	168,	154,	306.538
-35,	273,	168,	154,	306.543
-34.3,	273,	168,	154,	306.548
-34.3,	274,	168,	154,	306.553
-40,	297,	200,	155,	306.707
-40,	297,	200,	155,	306.707
-39.5,	298,	200,	155,	306.712
-39.8,	299,	200,	155,	306.717
-39.8,	300,	200,	155,	306.722
-39.7,	300,	200,	155,	306.727
-39.3,	301,	200,	155,	306.732
-23.5,	329,	231,	156,	306.916
-23.5,	329,	231,	156,	306.916
-22.8,	329,	231,	156,	306.921
-22.6,	330,	231,	156,	306.926
-21,	331,	231,	156,	306.931
-19.5,	332,	231,	156,	306.936
-18.3,	332,	231,	156,	306.941
26.2,	359,	269,	157,	307.124
26.2,	359,	269,	157,	307.124
26.2,	0,	269,	157,	307.129
26.3,	1,	269,	157,	307.134
26.4,	2,	269,	157,	307.139
26.6,	2,	269,	157,	307.144
26.7,	3,	269,	157,	307.149
41.6,	35,	305,	158,	307.363
41.6,	35,	305,	158,	307.363
41,	36,	305,	158,	307.368
40.5,	37,	305,	158,	307.373
40.9,	38,	305,	158,	307.378
42.8,	38,	305,	158,	307.383
42.9,	39,	305,	158,	307.388
44.6,	75,	335,	159,	307.632
44.6,	75,	335,	159,	307.632
44.1,	76,	335,	159,	307.636
43.6,	76,	335,	159,	307.641
43,	77,	335,	159,	307.646
42.7,	78,	335,	159,	307.651
42.5,	79,	335,	159,	307.656
34.2,	102,	7,	160,	307.811
34.2,	102,	7,	160,	307.811
33.7,	102,	7,	160,	307.816
33.6,	103,	7,	160,	307.821
34,	104,	7,	160,	307.826
34,	105,	7,	160,	307.831
34.2,	105,	7,	160,	307.835
18.7,	132,	42,	161,	308.019
18.7,	132,	42,	161,	308.019
16.3,	133,	42,	161,	308.024
15.7,	134,	42,	161,	308.029
14.1,	135,	42,	161,	308.034
14,	135,	42,	161,	308.039
12.9,	136,	42,	161,	308.044
-13.7,	164,	96,	162,	308.228
-13.7,	164,	96,	162,	308.228
-15.4,	165,	96,	162,	308.233
-16,	165,	96,	162,	308.238
-16.1,	166,	96,	162,	308.243
-16,	167,	96,	162,	308.248
-15.9,	168,	96,	162,	308.253
-56.5,	200,	134,	163,	308.467
-56.5,	200,	134,	163,	308.467
-57.3,	201,	134,	163,	308.472
-57.5,	202,	134,	163,	308.477
-57.6,	202,	134,	163,	308.482
-57.6,	203,	134,	163,	308.487
-58.6,	204,	134,	163,	308.492
-58.5,	237,	166,	164,	308.705
-58.5,	237,	166,	164,	308.705
-59.7,	237,	166,	164,	308.71
-60,	238,	166,	164,	308.715
-59.8,	239,	166,	164,	308.72
-59.3,	240,	166,	164,	308.725
-58.5,	240,	166,	164,	308.73
-37,	269,	197,	165,	308.914
-37,	269,	197,	165,	308.914
-35.5,	270,	197,	165,	308.919
-35.1,	271,	197,	165,	308.924
-34.3,	271,	197,	165,	308.929
-34.4,	272,	197,	165,	308.934
-35,	273,	197,	165,	308.939
-38.2,	306,	238,	166,	309.153
-38.2,	306,	238,	166,	309.153
-38.4,	307,	238,	166,	309.158
-38.4,	308,	238,	166,	309.163
-38.4,	309,	238,	166,	309.168
-39.2,	309,	238,	166,	309.173
-38.4,	310,	238,	166,	309.178
2.3,	347,	276,	167,	309.421
2.3,	347,	276,	167,	309.421
3.1,	347,	276,	167,	309.426
4.4,	348,	276,	167,	309.431
4.8,	349,	276,	167,	309.436
5.8,	349,	276,	167,	309.441
6.3,	350,	276,	167,	309.446
31.7,	18,	307,	168,	309.63
31.7,	18,	307,	168,	309.63
32.4,	19,	307,	168,	309.635
32.7,	20,	307,	168,	309.64
33.1,	21,	307,	168,	309.645
33.1,	21,	307,	168,	309.65
33.1,	22,	307,	168,	309.655
41.5,	55,	343,	169,	309.869
41.5,	55,	343,	169,	309.869
40.9,	56,	343,	169,	309.874
42.5,	57,	343,	169,	309.879
42.5,	58,	343,	169,	309.884
42.3,	59,	343,	169,	309.888
41.9,	59,	343,	169,	309.893
37.4,	86,	21,	170,	310.077
37.4,	86,	21,	170,	310.077
36,	86,	21,	170,	310.082
35.9,	87,	21,	170,	310.087
35.8,	88,	21,	170,	310.092
35.7,	88,	21,	170,	310.097
36.5,	89,	21,	170,	310.102
31,	121,	61,	171,	310.316
31,	121,	61,	171,	310.316
31,	122,	61,	171,	310.321
30.8,	123,	61,	171,	310.326
30.8,	123,	61,	171,	310.331
30.5,	124,	61,	171,	310.336
28.9,	125,	61,	171,	310.341
0,	156,	91,	172,	310.554
0,	156,	91,	172,	310.554
-0.7,	157,	91,	172,	310.559
-1.2,	158,	91,	172,	310.564
-1.5,	158,	91,	172,	310.569
-2.4,	159,	91,	172,	310.574
-3.8,	160,	91,	172,	310.579
-39.5,	187,	120,	173,	310.764
-39.5,	187,	120,	173,	310.764
-41.8,	187,	120,	173,	310.768
-42.6,	188,	120,	173,	310.773
-42.6,	188,	120,	173,	310.778
-42.7,	189,	120,	173,	310.783
-43.2,	190,	120,	173,	310.788
-62.5,	218,	150,	174,	310.972
-62.5,	218,	150,	174,	310.972
-63,	218,	150,	174,	310.977
-62.9,	219,	150,	174,	310.982
-62.8,	220,	150,	174,	310.987
-62.7,	221,	150,	174,	310.992
-63.3,	221,	150,	174,	310.997
-49.4,	249,	195,	175,	311.181
-49.4,	249,	195,	175,	311.181
-48.4,	250,	195,	175,	311.186
-48.1,	251,	195,	175,	311.191
-47.3,	251,	195,	175,	311.196
-46.3,	252,	195,	175,	311.201
-46.5,	253,	195,	175,	311.206
-41.8,	286,	236,	176,	311.42
-41.8,	286,	236,	176,	311.42
-43.2,	287,	236,	176,	311.425
-44.3,	287,	236,	176,	311.43
-45.4,	288,	236,	176,	311.435
-45.4,	289,	236,	176,	311.44
-45.4,	290,	236,	176,	311.445
-27.8,	322,	264,	177,	311.658
-27.8,	322,	264,	177,	311.658
-27.8,	322,	264,	177,	311.663
-27.5,	323,	264,	177,	311.668
-26.4,	324,	264,	177,	311.673
-25.6,	325,	264,	177,	311.678
-25,	325,	264,	177,	311.683
14.4,	354,	292,	178,	311.867
14.4,	354,	292,	178,	311.867
15.6,	354,	292,	178,	311.872
16.3,	355,	292,	178,	311.877
17.1,	356,	292,	178,	311.882
17.7,	357,	292,	178,	311.887
19,	357,	292,	178,	311.892
38.8,	26,	322,	179,	312.076
38.8,	26,	322,	179,	312.076
39.3,	27,	322,	179,	312.081
39.3,	27,	322,	179,	312.086
40.2,	28,	322,	179,	312.09
40.8,	29,	322,	179,	312.095
41.7,	30,	322,	179,	312.1
51.5,	52,	359,	180,	312.255
51.5,	52,	359,	180,	312.255
52,	53,	359,	180,	312.26
51.5,	54,	359,	180,	312.265
50.7,	55,	359,	180,	312.27
50.2,	55,	359,	180,	312.274
50.8,	56,	359,	180,	312.279
40.4,	93,	40,	181,	312.523
40.4,	93,	40,	181,	312.523
40.3,	94,	40,	181,	312.528
40.6,	94,	40,	181,	312.533
40,	95,	40,	181,	312.538
39.8,	96,	40,	181,	312.543
39.5,	97,	40,	181,	312.548
23.1,	130,	71,	182,	312.762
23.1,	130,	71,	182,	312.762
23.2,	130,	71,	182,	312.767
24.5,	131,	71,	182,	312.772
25.3,	132,	71,	182,	312.776
26,	133,	71,	182,	312.781
26.3,	133,	71,	182,	312.786
-0.1,	161,	101,	183,	312.97
-0.1,	161,	101,	183,	312.97
-0.5,	162,	101,	183,	312.975
-0.4,	163,	101,	183,	312.98
-0.9,	163,	101,	183,	312.985
-1.5,	164,	101,	183,	312.99
-1.4,	165,	101,	183,	312.995
-46.7,	194,	137,	184,	313.179
-46.7,	194,	137,	184,	313.179
-47.7,	195,	137,	184,	313.184
-49,	196,	137,	184,	313.189
-51,	196,	137,	184,	313.194
-52.1,	197,	137,	184,	313.199
-52.6,	198,	137,	184,	313.204
-66.8,	222,	176,	185,	313.358
-66.8,	222,	176,	185,	313.358
-66.6,	223,	176,	185,	313.363
-66.5,	224,	176,	185,	313.368
-66.3,	225,	176,	185,	313.373
-65.7,	226,	176,	185,	313.378
-65.6,	227,	176,	185,	313.383
-45,	280,	206,	186,	313.717
-45,	280,	206,	186,	313.717
-45,	281,	206,	186,	313.722
-45.2,	282,	206,	186,	313.727
-45.4,	282,	206,	186,	313.732
-45.4,	283,	206,	186,	313.737
-45,	283,	206,	186,	313.741
-33.5,	318,	238,	187,	313.955
-33.5,	318,	238,	187,	313.955
-32.3,	318,	238,	187,	313.96
-31.5,	319,	238,	187,	313.965
-30.6,	320,	238,	187,	313.97
-30.1,	321,	238,	187,	313.975
-29.9,	321,	238,	187,	313.98
9.1,	351,	267,	188,	314.164
9.1,	351,	267,	188,	314.164
10.2,	351,	267,	188,	314.169
12.4,	352,	267,	188,	314.174
13.4,	353,	267,	188,	314.179
13.9,	354,	267,	188,	314.184
15,	354,	267,	188,	314.189
39.5,	28,	305,	189,	314.403
39.5,	28,	305,	189,	314.403
41.5,	29,	305,	189,	314.408
41.4,	30,	305,	189,	314.413
41.1,	30,	305,	189,	314.418
40.5,	31,	305,	189,	314.423
39.5,	32,	305,	189,	314.428
46,	70,	343,	190,	314.671
46,	70,	343,	190,	314.671
45.9,	71,	343,	190,	314.676
46.3,	71,	343,	190,	314.681
46.1,	72,	343,	190,	314.686
45.7,	73,	343,	190,	314.691
45.6,	74,	343,	190,	314.696
37.6,	102,	14,	191,	314.88
37.6,	102,	14,	191,	314.88
39,	103,	14,	191,	314.885
38.7,	103,	14,	191,	314.89
38.8,	104,	14,	191,	314.895
38.9,	105,	14,	191,	314.9
39,	106,	14,	191,	314.904
23.6,	130,	46,	192,	315.059
23.6,	130,	46,	192,	315.059
23.5,	130,	46,	192,	315.063
24.1,	131,	46,	192,	315.068
22.6,	132,	46,	192,	315.073
21.6,	133,	46,	192,	315.078
20.2,	133,	46,	192,	315.084
-20.1,	169,	78,	193,	315.327
-20.1,	169,	78,	193,	315.327
-20.8,	170,	78,	193,	315.332
-20.9,	171,	78,	193,	315.337
-22.9,	172,	78,	193,	315.342
-23,	172,	78,	193,	315.347
-22.5,	173,	78,	193,	315.352
-66.2,	206,	117,	194,	315.565
-66.2,	206,	117,	194,	315.565
-66.4,	207,	117,	194,	315.57
-66.7,	208,	117,	194,	315.575
-66.9,	208,	117,	194,	315.58
-67,	209,	117,	194,	315.585
-67.6,	210,	117,	194,	315.59
-52.4,	243,	157,	195,	315.804
-52.4,	243,	157,	195,	315.804
-51.7,	244,	157,	195,	315.809
-50.9,	245,	157,	195,	315.814
-50.4,	245,	157,	195,	315.819
-51,	246,	157,	195,	315.824
-50.5,	247,	157,	195,	315.829
-37.8,	274,	189,	196,	316.013
-37.8,	274,	189,	196,	316.013
-37.9,	275,	189,	196,	316.018
-38.4,	276,	189,	196,	316.023
-39.3,	276,	189,	196,	316.028
-38.8,	277,	189,	196,	316.033
-39.1,	278,	189,	196,	316.038
-42.7,	306,	222,	197,	316.221
-42.7,	306,	222,	197,	316.221
